,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
232,"Kosakowski,Jakub",3.5,6.433333333,IM,"Kuzubov,Yuriy",5.5,7.716666667,GM,1,12.25,41.38777778,22.51666667,30.25,59.54694444,42.44166667
233,"Pranesh,M",2.833333333,6.325,GM,"Sindarov,Javokhir",3,7.708333333,GM,0.5,8.027777778,40.005625,17.92083333,9,59.41840278,23.125
234,"Mamedov,Rauf",5.833333333,7.683333333,GM,"Shogdzhiev,Roman",1.333333333,2.85,Untitled,1,34.02777778,59.03361111,44.81944444,1.777777778,8.1225,3.8
235,"Amangeldy,Ernur",2.5,2.6,Untitled,"Shevchenko,Kirill",3.5,7.658333333,GM,0,6.25,6.76,6.5,12.25,58.65006944,26.80416667
236,"Xue,Haowen",2.5,5.166666667,Untitled,"Caruana,Fabiano",5.166666667,8.85,GM,0,6.25,26.69444444,12.91666667,26.69444444,78.3225,45.725
237,"Grigoriants,Sergey",6.666666667,6.608333333,GM,"Nepomniachtchi,Ian",5.5,8.983333333,GM,1,44.44444444,43.67006944,44.05555556,30.25,80.70027778,49.40833333
238,"Zvjaginsev,Vadim",7.833333333,6.408333333,GM,"Artemiev,Vladislav",4.166666667,8.508333333,GM,0,61.36111111,41.06673611,50.19861111,17.36111111,72.39173611,35.45138889
239,"Harutyunyan,TigranK.",4.333333333,6.158333333,GM,"Praggnanandhaa,R",3,8.383333333,GM,0,18.77777778,37.92506944,26.68611111,9,70.28027778,25.15
240,"Hirneise,Jens",5.166666667,6.133333333,FM,"Giri,Anish",4.833333333,8.316666667,GM,0.5,26.69444444,37.61777778,31.68888889,23.36111111,69.16694444,40.19722222
241,"Radjabov,Teimour",6,8.258333333,GM,"Christiansen,Johan-Sebastian",4.166666667,6.616666667,GM,1,36,68.20006944,49.55,17.36111111,43.78027778,27.56944444
242,"Salem,A.R.Saleh",5,8.166666667,GM,"Iljiushenok,Ilia",5,6.5,GM,1,25,66.69444444,40.83333333,25,42.25,32.5
