,Tournament,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
86,TSM_24,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,"Gukesh, D",2.769230769,7.24999999,GM,0,13.63313609,54.75999985,27.32307689,7.668639053,52.56249986,20.07692305
87,TSM_24,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,"Donchenko, Alexander",4,6.43,GM,1,9.467455621,52.8529,22.36923077,16,41.3449,25.72
88,TSM_24,"Wei, Yi",3.846153846,7.39999999,GM,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,1,14.79289941,54.75999985,28.46153842,21.30177515,55.0564,34.24615385
89,TSM_24,"Ding, Liren",4.923076923,7.80000001,GM,"Ju, Wenjun",5.076923077,5.49000001,GM,0.5,24.23668639,60.84000016,38.40000005,25.77514793,30.14010011,27.87230774
90,TSM_24,"Giri, Anish",4.615384615,7.48999999,GM,"Warmerdam, Max",3.692307692,6.25,GM,1,21.30177515,56.10009985,34.56923072,13.63313609,39.0625,23.07692308
91,TSM_24,"Nepomniachtchi, Ian",5.230769231,7.69,GM,"Van Foreest, Jorden",3.846153846,6.82,GM,0.5,27.36094675,59.1361,40.22461538,14.79289941,46.5124,26.23076923
92,TSC_24,"Niemann, Hans Moke",3.230769231,6.91999999,GM,"Vrolijk, Liam",3.384615385,5.73000001,GM,1,10.43786982,47.88639986,22.35692304,11.4556213,32.83290011,19.39384619
93,TSC_24,"Yilmaz, Mustafa",4.923076923,6.64999999,GM,"Santos Latasa, Jaime",4.307692308,6.15000001,GM,0,24.23668639,44.22249987,32.73846149,18.55621302,37.82250012,26.49230774
94,TSC_24,"Salem, A.R. Saleh",4.769230769,6.30000001,GM,"Korobov, Anton",6,6.63000001,GM,1,22.74556213,39.69000013,30.04615389,36,43.95690013,39.78000006
95,TSC_24,"Divya, Deshmukh",2.923076923,4.20000001,IM,"Beukema, Stefan",4.307692308,4.27999999,IM,0.5,8.544378698,17.64000008,12.27692311,18.55621302,18.31839991,18.43692303
96,TSC_24,"Roebers, Eline",2.769230769,3.81000001,IM,"Mendonca, Leon Luke",2.769230769,6.07999999,GM,0,7.668639053,14.51610008,10.55076926,7.668639053,36.96639988,16.83692305
